Year,City,Sport,Athlete,Country,Gender,Event,Medal,Age,Height,Weight
1920,Antwerp,Athletics,"SCHARDT, Arlie Alfred",USA,Men,3000M Team,Gold,24,173,64
1920,Antwerp,Athletics,"BLEWITT, Charles Edward",GBR,Men,3000M Team,Silver,24,,
1920,Antwerp,Athletics,"HILL, Albert",GBR,Men,3000M Team,Silver,31,178,72
1920,Antwerp,Athletics,"SEAGROVE, William Raymond",GBR,Men,3000M Team,Silver,21,,
1920,Antwerp,Athletics,"REMER, Richard Frederick",USA,Men,3000M Walk,Bronze,36,178,68
1920,Antwerp,Athletics,"FRIGERIO, Ugo",ITA,Men,3000M Walk,Gold,18,171,55
1920,Antwerp,Athletics,"PARKER, George",AUS,Men,3000M Walk,Silver,,183,81
1920,Antwerp,Athletics,"ENGDAHL, Nils",SWE,Men,400M,Bronze,21,165,57
1920,Antwerp,Athletics,"RUDD, Bevil Gordon D'Urban",RSA,Men,400M,Gold,24,180,77
1920,Antwerp,Athletics,"BUTLER, Guy Montagu",GBR,Men,400M,Silver,20,,
1920,Antwerp,Athletics,"DESCH, August George",USA,Men,400M Hurdles,Bronze,21,170,61
1920,Antwerp,Athletics,"LOOMIS, Frank",USA,Men,400M Hurdles,Gold,23,188,
1920,Antwerp,Athletics,"NORTON, John Kelley",USA,Men,400M Hurdles,Silver,27,183,93
1920,Antwerp,Athletics,"HOLMSTR?M, Agne",SWE,Men,4X100M Relay,Bronze,26,197,84
1920,Antwerp,Athletics,"MALM, Sven",SWE,Men,4X100M Relay,Bronze,26,,
1920,Antwerp,Athletics,"PETERSSON, R. William E.",SWE,Men,4X100M Relay,Bronze,24,184,78
1920,Antwerp,Athletics,"SANDSTR?M, Nils",SWE,Men,4X100M Relay,Bronze,26,,
1920,Antwerp,Athletics,"KIRKSEY, Morris",USA,Men,4X100M Relay,Gold,24,178,77
1920,Antwerp,Athletics,"MURCHISON, Loren",USA,Men,4X100M Relay,Gold,21,174,68
1920,Antwerp,Athletics,"PADDOCK, Charles",USA,Men,4X100M Relay,Gold,19,172,75
1920,Antwerp,Athletics,"SCHOLZ, Jackson",USA,Men,4X100M Relay,Gold,23,172,61
1920,Antwerp,Athletics,"ALI KAHN, Emile",FRA,Men,4X100M Relay,Silver,17,180,69
1920,Antwerp,Athletics,"LORAIN, Ren¨¦",FRA,Men,4X100M Relay,Silver,20,175,68
1920,Antwerp,Athletics,"MOURLON, Ren¨¦",FRA,Men,4X100M Relay,Silver,26,169,65
1920,Antwerp,Athletics,"TIRARD, Ren¨¦",FRA,Men,4X100M Relay,Silver,20,180,68
1920,Antwerp,Athletics,"ANDRE, Georges",FRA,Men,4X400M Relay,Bronze,30,188,85
1920,Antwerp,Athletics,"DELVART, Maurice",FRA,Men,4X400M Relay,Bronze,20,,
1920,Antwerp,Athletics,"DEVAUX, Jean Andr¨¦",FRA,Men,4X400M Relay,Bronze,25,,
1920,Antwerp,Athletics,"FERY, Gaston",FRA,Men,4X400M Relay,Bronze,19,176,76
1920,Antwerp,Athletics,"AINSWORTH-DAVIS, John Creyghton",GBR,Men,4X400M Relay,Gold,25,,
1920,Antwerp,Athletics,"BUTLER, Guy Montagu",GBR,Men,4X400M Relay,Gold,20,,
1920,Antwerp,Athletics,"GRIFFITHS, Cecil Richmond",GBR,Men,4X400M Relay,Gold,19,,
1920,Antwerp,Athletics,"LINDSAY, Robert Alexander",GBR,Men,4X400M Relay,Gold,30,,
1920,Antwerp,Athletics,"DAVEL, Harry",RSA,Men,4X400M Relay,Silver,31,,
1920,Antwerp,Athletics,"OLDFIELD, Clarence Winston",RSA,Men,4X400M Relay,Silver,20,178,59
1920,Antwerp,Athletics,"OOSTERLAAK, Jack",RSA,Men,4X400M Relay,Silver,24,,
1920,Antwerp,Athletics,"RUDD, Bevil Gordon D'Urban",RSA,Men,4X400M Relay,Silver,24,180,77
1920,Antwerp,Athletics,"BACKMAN, Erik",SWE,Men,5000M,Bronze,23,172,64
1920,Antwerp,Athletics,"GUILLEMOT, Joseph",FRA,Men,5000M,Gold,20,160,55
1920,Antwerp,Athletics,"NURMI, Paavo",FIN,Men,5000M,Silver,22,174,65
1920,Antwerp,Athletics,"LIND, Carl Johan",SWE,Men,56LB Weight Throw (25.4KG),Bronze,36,176,102
1920,Antwerp,Athletics,"MCDONALD, Patrick",USA,Men,56LB Weight Throw (25.4KG),Gold,41,190,120
1920,Antwerp,Athletics,"RYAN, Patrick",USA,Men,56LB Weight Throw (25.4KG),Silver,39,188,113
1920,Antwerp,Athletics,"RUDD, Bevil Gordon D'Urban",RSA,Men,800M,Bronze,24,180,77
1920,Antwerp,Athletics,"HILL, Albert",GBR,Men,800M,Gold,31,178,72
1920,Antwerp,Athletics,"EBY, Earl",USA,Men,800M,Silver,25,179,60
1920,Antwerp,Athletics,"LIIMATAINEN, Heikki",FIN,Men,Cross Country Individual,Bronze,26,164,59
1920,Antwerp,Athletics,"NURMI, Paavo",FIN,Men,Cross Country Individual,Gold,22,174,65
1920,Antwerp,Athletics,"BACKMAN, Erik",SWE,Men,Cross Country Individual,Silver,23,172,64
1920,Antwerp,Athletics,"BACKMAN, Erik",SWE,Men,Cross Country Team,Bronze,23,172,64
1920,Antwerp,Athletics,"EKMAN, Hilding",SWE,Men,Cross Country Team,Bronze,27,180,70
1920,Antwerp,Athletics,"MATTSSON, Gustaf",SWE,Men,Cross Country Team,Bronze,26,169,60
1920,Antwerp,Athletics,"KOSKENNIEMI, Frederik Teudor",FIN,Men,Cross Country Team,Gold,32,172,63
1920,Antwerp,Athletics,"LIIMATAINEN, Heikki",FIN,Men,Cross Country Team,Gold,26,164,59
1920,Antwerp,Athletics,"NURMI, Paavo",FIN,Men,Cross Country Team,Gold,22,174,65
1920,Antwerp,Athletics,"HEGARTY, Frank",GBR,Men,Cross Country Team,Silver,27,,
1920,Antwerp,Athletics,"NICHOLS, Alfred Hubert",GBR,Men,Cross Country Team,Silver,29,,
1920,Antwerp,Athletics,"WILSON, James",GBR,Men,Cross Country Team,Silver,28,173,60
1920,Antwerp,Athletics,"OHLSON, Bertil",SWE,Men,Decathlon,Bronze,21,,
1920,Antwerp,Athletics,"L?VLAND, Helge Andreas",NOR,Men,Decathlon,Gold,29,188,84
1920,Antwerp,Athletics,"HAMILTON, Brutus Kerr",USA,Men,Decathlon,Silver,19,183,80
1920,Antwerp,Athletics,"POPE, Augustus",USA,Men,Discus Throw,Bronze,21,185,95
1920,Antwerp,Athletics,"NIKLANDER, Elmer Konstantin",FIN,Men,Discus Throw,Gold,30,185,79
1920,Antwerp,Athletics,"TAIPALE, Armas Rudolf",FIN,Men,Discus Throw,Silver,29,191,92.5
1920,Antwerp,Athletics,"BENNET, Basil",USA,Men,Hammer Throw,Bronze,25,183,77
1920,Antwerp,Athletics,"RYAN, Patrick",USA,Men,Hammer Throw,Gold,39,188,113
1920,Antwerp,Athletics,"LIND, Carl Johan",SWE,Men,Hammer Throw,Silver,36,176,102
1920,Antwerp,Athletics,"EKELUND, Bo",SWE,Men,High Jump,Bronze,25,187,75
1920,Antwerp,Athletics,"LANDON, Richmond",USA,Men,High Jump,Gold,21,188,73
1920,Antwerp,Athletics,"MULLER, Harold",USA,Men,High Jump,Silver,18,185,86
1920,Antwerp,Athletics,"JAALE-JOHANSSON, Paavo",FIN,Men,Javelin Throw,Bronze,24,170,70
1920,Antwerp,Athletics,"MYYR?, Jonni",FIN,Men,Javelin Throw,Gold,27,186,80
1920,Antwerp,Athletics,"PELTONEN, Urho Pellervo",FIN,Men,Javelin Throw,Silver,27,178,73
1920,Antwerp,Athletics,"ABRAHAMSSON, Erik",SWE,Men,Long Jump,Bronze,22,172,61
1920,Antwerp,Athletics,"PETERSSON, R. William E.",SWE,Men,Long Jump,Gold,24,184,78
1920,Antwerp,Athletics,"JOHNSON, Carl",USA,Men,Long Jump,Silver,21,175,61
1920,Antwerp,Athletics,"ARRI, Valerio",ITA,Men,Marathon,Bronze,27,,
1920,Antwerp,Athletics,"KOLEHMAINEN, Hannes",FIN,Men,Marathon,Gold,30,168,57.5
1920,Antwerp,Athletics,"LOSSMANN, J¨¹ri",EST,Men,Marathon,Silver,29,169,69
1920,Antwerp,Athletics,"LAHTINEN, Hugo Jalmari",FIN,Men,Pentathlon,Bronze,28,182,78
1920,Antwerp,Athletics,"LEHTONEN, Eero Reino",FIN,Men,Pentathlon,Gold,22,184,78
1920,Antwerp,Athletics,"BRADLEY, Everett Lewis",USA,Men,Pentathlon,Silver,22,178,79
1920,Antwerp,Athletics,"MYERS, Edwin",USA,Men,Pole Vault,Bronze,23,175,
1920,Antwerp,Athletics,"FOSS, Frank",USA,Men,Pole Vault,Gold,24,172,66
1920,Antwerp,Athletics,"PETERSEN, Henry",DEN,Men,Pole Vault,Silver,19,,
1920,Antwerp,Athletics,"LIVERSEDGE, Harry",USA,Men,Shot Put,Bronze,25,,
1920,Antwerp,Athletics,"P?RH?L?, Frans Wilhelmi",FIN,Men,Shot Put,Gold,22,182,97.5
1920,Antwerp,Athletics,"NIKLANDER, Elmer Konstantin",FIN,Men,Shot Put,Silver,30,185,79
1920,Antwerp,Athletics,"ALML?F, Erik",SWE,Men,Triple Jump,Bronze,28,188,73
1920,Antwerp,Athletics,"TUULOS, Vilho Immanuel",FIN,Men,Triple Jump,Gold,25,183,77
1920,Antwerp,Athletics,"JANSSON, Folke",SWE,Men,Triple Jump,Silver,23,187,80
1920,Antwerp,Boxing,"CUTHBERTSON, William",GBR,Men,- 50.8KG (Flyweight),Bronze,17,,
1920,Antwerp,Boxing,"DI GENARO, Frank",USA,Men,- 50.8KG (Flyweight),Gold,18,156,51
1920,Antwerp,Boxing,"PETERSEN, Anders",DEN,Men,- 50.8KG (Flyweight),Silver,20,,
1920,Antwerp,Boxing,"ELUERE, Albert Xavier",FRA,Men,+ 79.38KG (Heavyweight),Bronze,22,,
1920,Antwerp,Boxing,"RAWSON, Ronald",GBR,Men,+ 79.38KG (Heavyweight),Gold,27,,
1920,Antwerp,Boxing,"PETEERSEN, S?ren",DEN,Men,+ 79.38KG (Heavyweight),Silver,25,,
1920,Antwerp,Boxing,"MCKENZIE, James",GBR,Men,50.8 - 53.52KG (Bantamweight),Bronze,19,,
1920,Antwerp,Boxing,"WALKER, Clarence Leonard",RSA,Men,50.8 - 53.52KG (Bantamweight),Gold,21,,
1920,Antwerp,Boxing,"GRAHAM, Clifford John",CAN,Men,50.8 - 53.52KG (Bantamweight),Silver,20,,
1920,Antwerp,Boxing,"GARZENA, Edoardo",ITA,Men,53.52 - 57.15KG (Featherweight),Bronze,19,,
1920,Antwerp,Boxing,"FRITSCH, Paul",FRA,Men,53.52 - 57.15KG (Featherweight),Gold,19,158,50
1920,Antwerp,Boxing,"GACHET, Jean",FRA,Men,53.52 - 57.15KG (Featherweight),Silver,25,,
1920,Antwerp,Boxing,"NEWTON, Clarence",CAN,Men,57.15 - 61.24KG (Lightweight),Bronze,21,,
1920,Antwerp,Boxing,"MOSBERG, Samuel",USA,Men,57.15 - 61.24KG (Lightweight),Gold,23,166,
1920,Antwerp,Boxing,"JOHANSEN, Gotfred",DEN,Men,57.15 - 61.24KG (Lightweight),Silver,24,,
1920,Antwerp,Boxing,"COLBERG, Frederick William",USA,Men,61.24 - 66.68KG (Welterweight),Bronze,19,,
1920,Antwerp,Boxing,"SCHNEIDER, Julius Gustav Albert",CAN,Men,61.24 - 66.68KG (Welterweight),Gold,22,,
1920,Antwerp,Boxing,"IRELAND, Alexander",GBR,Men,61.24 - 66.68KG (Welterweight),Silver,19,,
1920,Antwerp,Boxing,"HERSCOVITCH, Montgomery Hart",CAN,Men,66.68 - 72.57KG (Middleweight),Bronze,22,170,
1920,Antwerp,Boxing,"MALLIN, Harry William",GBR,Men,66.68 - 72.57KG (Middleweight),Gold,27,180,
1920,Antwerp,Boxing,"PRUD'HOMME, George Arthur",CAN,Men,66.68 - 72.57KG (Middleweight),Silver,,,
1920,Antwerp,Boxing,"FRANKS, Harold",GBR,Men,72.57 - 79.38KG (Light-Heavyweight),Bronze,,,
1920,Antwerp,Boxing,"EAGAN, Edward",USA,Men,72.57 - 79.38KG (Light-Heavyweight),Gold,21,179,
1920,Antwerp,Boxing,"S?RSDAL, Sverre",NOR,Men,72.57 - 79.38KG (Light-Heavyweight),Silver,19,,
1920,Antwerp,Cycling,"CANTELOUBE, Fernand",FRA,Men,Individual Time Trial,Bronze,19,,
1920,Antwerp,Cycling,"STENQVIST, Harry",SWE,Men,Individual Time Trial,Gold,26,,
1920,Antwerp,Cycling,"KALTENBRUN, Henry Justaves",RSA,Men,Individual Time Trial,Silver,22,,
1920,Antwerp,Cycling,"DE BUINNE, Albert",BEL,Men,Team Time Trial,Bronze,24,,
1920,Antwerp,Cycling,"JANSSENS, Jean",BEL,Men,Team Time Trial,Bronze,,,
1920,Antwerp,Cycling,"VERCRUYSSE, Andr¨¦",BEL,Men,Team Time Trial,Bronze,,,
1920,Antwerp,Cycling,"WYCKMANS, Albert",BEL,Men,Team Time Trial,Bronze,22,,
1920,Antwerp,Cycling,"CANTELOUBE, Fernand",FRA,Men,Team Time Trial,Gold,19,,
1920,Antwerp,Cycling,"DETREILLE, Georges",FRA,Men,Team Time Trial,Gold,26,,
1920,Antwerp,Cycling,"GOBILLOT, Marcel",FRA,Men,Team Time Trial,Gold,20,160,55
1920,Antwerp,Cycling,"SOUCHARD, Achille",FRA,Men,Team Time Trial,Gold,19,,
1920,Antwerp,Cycling,"LUNDBERG, Sigfrid",SWE,Men,Team Time Trial,Silver,25,,
1920,Antwerp,Cycling,"MALM, Ragnar",SWE,Men,Team Time Trial,Silver,37,,
1920,Antwerp,Cycling,"PERSSON, Axel Wilhelm",SWE,Men,Team Time Trial,Silver,32,,
1920,Antwerp,Cycling,"STENQVIST, Harry",SWE,Men,Team Time Trial,Silver,26,,
1920,Antwerp,Cycling,"DE VRENG, Frans",NED,Men,2000M Tandem,Bronze,22,,
1920,Antwerp,Cycling,"IKELAAR, Petrus Gerardus",NED,Men,2000M Tandem,Bronze,24,,
1920,Antwerp,Cycling,"LANCE, Thomas Glasson",GBR,Men,2000M Tandem,Gold,28,,
1920,Antwerp,Cycling,"RYAN, Harry Edgar",GBR,Men,2000M Tandem,Gold,26,,
1920,Antwerp,Cycling,"SMITH, William R.",RSA,Men,2000M Tandem,Silver,,,
1920,Antwerp,Cycling,"WALKER, James R.",RSA,Men,2000M Tandem,Silver,,,
1920,Antwerp,Cycling,"IKELAAR, Petrus Gerardus",NED,Men,50KM,Bronze,24,,
1920,Antwerp,Cycling,"GEORGE, Henry",BEL,Men,50KM,Gold,29,,
1920,Antwerp,Cycling,"ALDEN, Cyril Albert",GBR,Men,50KM,Silver,,,
1920,Antwerp,Cycling,"RYAN, Harry Edgar",GBR,Men,Sprint Indivual,Bronze,26,,
1920,Antwerp,Cycling,"PEETERS, Mauritius",NED,Men,Sprint Indivual,Gold,37,,
1920,Antwerp,Cycling,"JOHNSON, Horace Thomas",GBR,Men,Sprint Indivual,Silver,33,163,70
1920,Antwerp,Cycling,"GOOSEN, Harry W.",RSA,Men,Team Pursuit (4000M),Bronze,,,
1920,Antwerp,Cycling,"KALTENBRUN, Henry Justaves",RSA,Men,Team Pursuit (4000M),Bronze,22,,
1920,Antwerp,Cycling,"SMITH, William R.",RSA,Men,Team Pursuit (4000M),Bronze,,,
1920,Antwerp,Cycling,"WALKER, James R.",RSA,Men,Team Pursuit (4000M),Bronze,,,
1920,Antwerp,Cycling,"CARLI, Arnaldo",ITA,Men,Team Pursuit (4000M),Gold,18,,
1920,Antwerp,Cycling,"FERRARIO, Ruggero",ITA,Men,Team Pursuit (4000M),Gold,22,,
1920,Antwerp,Cycling,"GIORGETTI, Franco",ITA,Men,Team Pursuit (4000M),Gold,17,,
1920,Antwerp,Cycling,"MAGNANI, Primo",ITA,Men,Team Pursuit (4000M),Gold,28,,
1920,Antwerp,Cycling,"ALDEN, Cyril Albert",GBR,Men,Team Pursuit (4000M),Silver,,,
1920,Antwerp,Cycling,"JOHNSON, Horace Thomas",GBR,Men,Team Pursuit (4000M),Silver,33,163,70
1920,Antwerp,Cycling,"STEWART, William George",GBR,Men,Team Pursuit (4000M),Silver,36,,
1920,Antwerp,Cycling,"WHITE, Albert",GBR,Men,Team Pursuit (4000M),Silver,30,,
1920,Antwerp,Equestrian,"LUNDBLAD, Janne",SWE,Men,Individual,Gold,43,,
1920,Antwerp,Equestrian,"BONVALET, Jules",BEL,Men,Team,Bronze,31,,
1920,Antwerp,Equestrian,"LINTS, Oswald G. H.",BEL,Men,Team,Bronze,26,,
1920,Antwerp,Equestrian,"MISONNE, Jacques",BEL,Men,Team,Bronze,,,
1920,Antwerp,Equestrian,"MOEREMANS D'EMAUS, Roger",BEL,Men,Team,Bronze,29,,
1920,Antwerp,Equestrian,"DYRSCH, Gustaf",SWE,Men,Team,Gold,28,,
1920,Antwerp,Equestrian,"LUNDSTR?M, Age",SWE,Men,Team,Gold,29,,
1920,Antwerp,Equestrian,"M?RNER, Helmer",SWE,Men,Team,Gold,24,,
1920,Antwerp,Equestrian,"VON BRAUN, Georg",SWE,Men,Team,Gold,34,,
1920,Antwerp,Equestrian,"ASINARI, Carlo",ITA,Men,Team,Silver,33,,
1920,Antwerp,Equestrian,"CACCIANDRA, Giulio",ITA,Men,Team,Silver,35,,
1920,Antwerp,Equestrian,"CAFFARATTI, Ettore",ITA,Men,Team,Silver,33,,
1920,Antwerp,Equestrian,"SPIGHI, Garibaldi",ITA,Men,Team,Silver,28,,
1920,Antwerp,Equestrian,"LEWENHAUPT, Carl Gustaf",SWE,Men,Individual,Bronze,36,,
1920,Antwerp,Equestrian,"LEQUIO DI ASSABA, Tommaso",ITA,Men,Individual,Gold,26,,
1920,Antwerp,Equestrian,"VALERIO, Alessandro",ITA,Men,Individual,Silver,38,,
1920,Antwerp,Equestrian,"ALVISI, Alessandro",ITA,Men,Team,Bronze,33,,
1920,Antwerp,Equestrian,"CACCIANDRA, Giulio",ITA,Men,Team,Bronze,35,,
1920,Antwerp,Equestrian,"CAFFARATTI, Ettore",ITA,Men,Team,Bronze,33,,
1920,Antwerp,Equestrian,"SPIGHI, Garibaldi",ITA,Men,Team,Bronze,35,,
1920,Antwerp,Equestrian,"DE K?NIG, Cla?s",SWE,Men,Team,Gold,35,,
1920,Antwerp,Equestrian,"MARTIN, Frank",SWE,Men,Team,Gold,34,,
1920,Antwerp,Equestrian,"NORLING, Lars Daniel",SWE,Men,Team,Gold,32,,
1920,Antwerp,Equestrian,"VON ROSEN, Hans",SWE,Men,Team,Gold,31,,
1920,Antwerp,Equestrian,"COUMANS, Andr¨¦",BEL,Men,Team,Silver,27,,
1920,Antwerp,Equestrian,"DE BRIE, Thierry",BEL,Men,Team,Silver,,,
1920,Antwerp,Equestrian,"DE GAIFFIER D'HESTROY, Hermann",BEL,Men,Team,Silver,24,,
1920,Antwerp,Equestrian,"D'OULTROMENT, Herman",BEL,Men,Team,Silver,38,,
1920,Antwerp,Equestrian,"FINET, T.",BEL,Men,Figure Riding Individual,Bronze,26,,
1920,Antwerp,Equestrian,"BOUCKAERT, T.",BEL,Men,Figure Riding Individual,Gold,25,,
1920,Antwerp,Equestrian,FIELD,FRA,Men,Figure Riding Individual,Silver,,,
1920,Antwerp,Equestrian,"GREEN, Carl",SWE,Men,Figure Riding Team,Bronze,26,,
1920,Antwerp,Equestrian,"M?RTENSSON, Anders",SWE,Men,Figure Riding Team,Bronze,27,,
1920,Antwerp,Equestrian,"NILSSON, Oskar",SWE,Men,Figure Riding Team,Bronze,23,,
1920,Antwerp,Equestrian,"BOUCKAERT, T.",BEL,Men,Figure Riding Team,Gold,25,,
1920,Antwerp,Equestrian,"FINET, T.",BEL,Men,Figure Riding Team,Gold,26,,
1920,Antwerp,Equestrian,VAN CAUWENBERG,BEL,Men,Figure Riding Team,Gold,,,
1920,Antwerp,Equestrian,VAN RANST,BEL,Men,Figure Riding Team,Gold,,,
1920,Antwerp,Equestrian,VAN SCHAUWBROECK,BEL,Men,Figure Riding Team,Gold,,,
1920,Antwerp,Equestrian,CAUCHY,FRA,Men,Figure Riding Team,Silver,,,
1920,Antwerp,Equestrian,FIELD,FRA,Men,Figure Riding Team,Silver,,,
1920,Antwerp,Equestrian,SALINS,FRA,Men,Figure Riding Team,Silver,,,
1920,Antwerp,Fencing,"BUCHARD, Gustave",FRA,Men,¨¦p¨¦e Individual,Bronze,30,,
1920,Antwerp,Fencing,"MASSARD, Armand",FRA,Men,¨¦p¨¦e Individual,Gold,35,186,84
1920,Antwerp,Fencing,"LIPPMANN, Alexandre",FRA,Men,¨¦p¨¦e Individual,Silver,38,,
1920,Antwerp,Fencing,"AMSON, Gaston",FRA,Men,¨¦p¨¦e Team,Bronze,36,,
1920,Antwerp,Fencing,"BUCHARD, Gustave",FRA,Men,¨¦p¨¦e Team,Bronze,30,,
1920,Antwerp,Fencing,"CASANOVA, Georges",FRA,Men,¨¦p¨¦e Team,Bronze,29,,
1920,Antwerp,Fencing,"LIPPMANN, Alexandre",FRA,Men,¨¦p¨¦e Team,Bronze,38,,
1920,Antwerp,Fencing,"MASSARD, Armand",FRA,Men,¨¦p¨¦e Team,Bronze,35,186,84
1920,Antwerp,Fencing,"MOREAU, Emile",FRA,Men,¨¦p¨¦e Team,Bronze,,,
1920,Antwerp,Fencing,"TROMBERT, Georges",FRA,Men,¨¦p¨¦e Team,Bronze,45,,
1920,Antwerp,Fencing,"ABELARDO, Olivier",ITA,Men,¨¦p¨¦e Team,Gold,42,,
1920,Antwerp,Fencing,"ALLOCHIO, Antonio",ITA,Men,¨¦p¨¦e Team,Gold,31,,
1920,Antwerp,Fencing,"BOZZA, Tullio",ITA,Men,¨¦p¨¦e Team,Gold,29,,
1920,Antwerp,Fencing,"CANOVA, Giovanni",ITA,Men,¨¦p¨¦e Team,Gold,39,,
1920,Antwerp,Fencing,"CONSTANTINO, Tommaso",ITA,Men,¨¦p¨¦e Team,Gold,34,,
1920,Antwerp,Fencing,"MARRAZZI, Andrea",ITA,Men,¨¦p¨¦e Team,Gold,32,,
1920,Antwerp,Fencing,"NADI, Aldo",ITA,Men,¨¦p¨¦e Team,Gold,20,183,69
1920,Antwerp,Fencing,"NADI, Nedo",ITA,Men,¨¦p¨¦e Team,Gold,25,188,
1920,Antwerp,Fencing,"THAON DI REVEL, Paolo",ITA,Men,¨¦p¨¦e Team,Gold,31,,
1920,Antwerp,Fencing,"URBANI, Dino",ITA,Men,¨¦p¨¦e Team,Gold,38,,
1920,Antwerp,Fencing,"ANSPACH, Paul",BEL,Men,¨¦p¨¦e Team,Silver,38,,
1920,Antwerp,Fencing,"BOIN, Victor",BEL,Men,¨¦p¨¦e Team,Silver,34,,
1920,Antwerp,Fencing,"DE CRAECKER, Joseph",BEL,Men,¨¦p¨¦e Team,Silver,29,180,
1920,Antwerp,Fencing,"DE MONTIGNY, Fernand",BEL,Men,¨¦p¨¦e Team,Silver,32,,
1920,Antwerp,Fencing,"DE WEE, Maurice",BEL,Men,¨¦p¨¦e Team,Silver,28,,
1920,Antwerp,Fencing,"GEVERS, Ernest",BEL,Men,¨¦p¨¦e Team,Silver,28,183,
1920,Antwerp,Fencing,"GOBLET D'AVIELLA, F¨¦lix",BEL,Men,¨¦p¨¦e Team,Silver,35,,
1920,Antwerp,Fencing,"LE HARDY DE BEAULIEU, Philippe",BEL,Men,¨¦p¨¦e Team,Silver,,,
1920,Antwerp,Fencing,"TOM, L¨¦on",BEL,Men,¨¦p¨¦e Team,Silver,31,180,82
1920,Antwerp,Fencing,"DUCRET, Roger Fran?ois",FRA,Men,Foil Individual,Bronze,32,,
1920,Antwerp,Fencing,"NADI, Nedo",ITA,Men,Foil Individual,Gold,25,188,
1920,Antwerp,Fencing,"CATTIAU, Philippe",FRA,Men,Foil Individual,Silver,27,165,
1920,Antwerp,Fencing,"BRECKINRIDGE, Henry Cabell",USA,Men,Foil Team,Bronze,33,185,
1920,Antwerp,Fencing,"HONEYCUTT, Francis Webster",USA,Men,Foil Team,Bronze,36,,
1920,Antwerp,Fencing,"LYON, Arthur St Clair",USA,Men,Foil Team,Bronze,43,173,
1920,Antwerp,Fencing,"RAYNER, Harold",USA,Men,Foil Team,Bronze,31,178,
1920,Antwerp,Fencing,"SEARS, Robert",USA,Men,Foil Team,Bronze,35,,
1920,Antwerp,Fencing,"ABELARDO, Olivier",ITA,Men,Foil Team,Gold,42,,
1920,Antwerp,Fencing,"BALDI, Baldo",ITA,Men,Foil Team,Gold,32,,
1920,Antwerp,Fencing,"CONSTANTINO, Tommaso",ITA,Men,Foil Team,Gold,34,,
1920,Antwerp,Fencing,"NADI, Aldo",ITA,Men,Foil Team,Gold,20,183,69
1920,Antwerp,Fencing,"NADI, Nedo",ITA,Men,Foil Team,Gold,25,188,
1920,Antwerp,Fencing,"PULITI, Oreste",ITA,Men,Foil Team,Gold,29,,
1920,Antwerp,Fencing,"SPECIALE, Pietro",ITA,Men,Foil Team,Gold,43,,
1920,Antwerp,Fencing,"TERLIZZI, Rodolfo",ITA,Men,Foil Team,Gold,23,167,
1920,Antwerp,Fencing,"AMSON, Gaston",FRA,Men,Foil Team,Silver,36,,
1920,Antwerp,Fencing,"BONY DE CASTELLANE, Lionel",FRA,Men,Foil Team,Silver,28,,
1920,Antwerp,Fencing,"CATTIAU, Philippe",FRA,Men,Foil Team,Silver,27,165,
1920,Antwerp,Fencing,"DUCRET, Roger Fran?ois",FRA,Men,Foil Team,Silver,32,,
1920,Antwerp,Fencing,"GAUDIN, Lucien",FRA,Men,Foil Team,Silver,33,,
1920,Antwerp,Fencing,"LABATTUT, Andr¨¦",FRA,Men,Foil Team,Silver,28,,
1920,Antwerp,Fencing,"PERROT, Marcel",FRA,Men,Foil Team,Silver,41,,
1920,Antwerp,Fencing,"TROMBERT, Georges",FRA,Men,Foil Team,Silver,45,,
1920,Antwerp,Fencing,"DE JONG, Adrianus Egbertus Willem",NED,Men,Sabre Individual,Bronze,37,,
1920,Antwerp,Fencing,"NADI, Nedo",ITA,Men,Sabre Individual,Gold,25,188,
1920,Antwerp,Fencing,"NADI, Aldo",ITA,Men,Sabre Individual,Silver,20,183,69
1920,Antwerp,Fencing,"DE JONG, Adrianus Egbertus Willem",NED,Men,Sabre Team,Bronze,37,,
1920,Antwerp,Fencing,"DELAUNOY, Louis Albert Armand Etienne",NED,Men,Sabre Team,Bronze,41,,
1920,Antwerp,Fencing,"DOORMAN, Jetze",NED,Men,Sabre Team,Bronze,38,,
1920,Antwerp,Fencing,"VAN BLIJENBURGH, Willem Peter Hubert",NED,Men,Sabre Team,Bronze,38,,
1920,Antwerp,Fencing,"VAN DER WIEL, Jan",NED,Men,Sabre Team,Bronze,27,,
1920,Antwerp,Fencing,"ZELDENRUST, Salomon",NED,Men,Sabre Team,Bronze,36,,
1920,Antwerp,Fencing,"BALDI, Baldo",ITA,Men,Sabre Team,Gold,32,,
1920,Antwerp,Fencing,"CESERANO, Frederico Secondo",ITA,Men,Sabre Team,Gold,30,,
1920,Antwerp,Fencing,"GARGANO, Francesco",ITA,Men,Sabre Team,Gold,30,,
1920,Antwerp,Fencing,"NADI, Aldo",ITA,Men,Sabre Team,Gold,20,183,69
1920,Antwerp,Fencing,"NADI, Nedo",ITA,Men,Sabre Team,Gold,25,188,
1920,Antwerp,Fencing,"PULITI, Oreste",ITA,Men,Sabre Team,Gold,29,,
1920,Antwerp,Fencing,"SANTELLI, Italo",ITA,Men,Sabre Team,Gold,22,,
1920,Antwerp,Fencing,"URBANI, Dino",ITA,Men,Sabre Team,Gold,38,,
1920,Antwerp,Fencing,"DE SAINT GERMAIN, Henri Marie Raoul",FRA,Men,Sabre Team,Silver,41,,
